Vehicle_ID,RSU_ID,Road_Segment_ID,Time_Slot,Area_Type,Road_Type,Weather_Condition,Traffic_Density_Level,Vehicle_Speed_kmph,Vehicle_Acceleration_mps2,Vehicle_Direction_Change_deg,Inter_Vehicle_Distance_m,Vehicle_Density_per_km,Queue_Length,Avg_Stop_Time_s,Roadside_Unit_Load_pct,Edge_Server_Load_pct,Available_Bandwidth_Mbps,Channel_Gain_dB,Signal_Strength_dBm,SNR_dB,Packet_Size_KB,Packet_Generation_Rate_pps,Transmission_Power_mW,Receiving_Power_mW,Idle_Power_mW,Battery_Level_pct,Energy_Consumed_mJ,Residual_Energy_mJ,Hop_Count,Link_Stability_Index,Connection_Duration_s,Handover_Count,Neighbor_Node_Count,Road_Obstruction_Flag,Line_of_Sight_Flag,Attack_Alert_Flag,Data_Sensitivity_Level,QoS_Priority_Class,Sensor_Message_Count,Traffic_Camera_Message_Count,Roadside_Event_Message_Count,Local_Computation_Load_pct,Update_Payload_Size_KB,Processing_Delay_ms,Queueing_Delay_ms,Propagation_Delay_ms,End_to_End_Latency_ms,Jitter_ms,Routing_Overhead_packets,Control_Message_Count,Packet_Loss_Rate_pct,Packet_Delivery_Ratio_pct,Throughput_Mbps,Route_Change_Count,Route_Stability_Index,Resource_Utilization_pct,Network_Lifetime_Score,Privacy_Risk_Score,Communication_Reliability_Score,Energy_Efficiency_Score,target_transmission_category
VEH_02136,RSU_0217,SEG_0213,Morning_Peak,Highway,Straight_Road,Clear,Medium,87.37,0.714,12.23,57.54,46.18,7,15.27,30.35,66.33,98.45,-67.79,-65.9,29.22,46.74,110.4,205.78,174.93,25.88,79.5,47.035,3431.252,2,0.5601,5.9,0,18,0,0,0,Medium,Standard,112.66,74.09,26.36,18.32,179.07,21.278,3.204,4.975,28.059,9.745,28.19,44.07,0.1,99.809,93.526,2,0.7146,36.12,69.895,47.573,76.447,37.212,Efficient_Transmission
VEH_00131,RSU_0057,SEG_0181,Evening_Peak,Urban,Intersection,Clear,Medium,44.47,1.052,36.35,57.61,49.61,6,11.49,33.0,38.42,97.89,-66.32,-56.45,25.89,23.66,77.11,276.56,140.39,26.48,81.75,38.229,3471.819,1,0.4965,30.64,0,23,0,1,0,Critical,High_Priority,131.06,46.56,13.43,43.25,151.87,33.048,18.447,6.73,59.872,10.131,12.68,29.68,0.8,97.754,102.564,0,0.7134,27.55,74.903,85.852,72.657,45.526,Efficient_Transmission
VEH_01686,RSU_0230,SEG_0599,Night,Urban,Intersection,Windy,Low,63.37,0.915,23.12,60.59,34.63,6,6.99,59.73,45.21,119.0,-79.41,-71.29,25.09,55.16,65.15,251.62,167.62,49.8,76.77,30.413,3289.015,1,0.4726,32.02,1,9,0,1,0,High,Background,65.53,72.68,15.74,37.83,208.73,12.084,20.256,7.268,45.089,8.812,28.68,42.35,1.769,97.253,114.192,0,0.6029,47.64,71.157,62.384,68.873,48.394,Efficient_Transmission
VEH_00770,RSU_0205,SEG_0248,Midday,Urban,Multi_Lane_Road,Clear,High,44.88,-0.259,6.14,53.64,42.27,8,21.92,69.76,80.39,82.83,-51.88,-48.74,26.4,59.88,88.89,326.98,208.58,49.87,72.72,52.494,3043.247,3,0.7425,27.31,1,12,0,1,0,Low,Standard,83.65,63.94,22.48,79.31,188.96,27.557,22.96,10.661,65.34,9.61,36.46,42.52,3.615,94.928,71.601,2,0.8587,81.74,71.133,20.507,80.204,26.726,Efficient_Transmission
VEH_02392,RSU_0196,SEG_0214,Evening_Peak,Highway,Straight_Road,Foggy,Very_High,44.18,1.253,5.57,45.8,86.58,12,27.72,70.92,78.16,45.35,-101.31,-96.15,23.56,62.3,142.27,420.13,252.75,42.87,59.45,73.307,2385.239,2,0.6425,32.68,1,23,0,1,0,Medium,High_Priority,209.73,95.96,29.57,88.75,289.11,29.42,18.785,5.082,57.947,13.49,41.67,57.17,4.961,93.453,28.545,1,0.7892,75.52,51.79,53.753,67.689,10.773,Poor_Transmission
VEH_01516,RSU_0119,SEG_0359,Early_Morning,Highway,Intersection,Cloudy,Very_High,56.6,2.14,23.82,37.26,98.14,14,27.53,91.6,67.1,53.22,-67.03,-70.54,28.64,31.73,110.53,309.04,215.33,45.21,87.03,59.429,3687.366,7,0.6446,16.25,0,17,0,1,0,Medium,High_Priority,145.69,82.33,47.63,76.03,342.01,20.196,28.433,16.824,55.92,9.086,53.81,58.32,3.716,95.333,41.575,6,0.6935,77.96,70.374,49.974,74.195,30.07,Moderate_Transmission
VEH_02434,RSU_0206,SEG_0249,Evening_Peak,Suburban,Straight_Road,Clear,High,33.34,1.367,4.16,28.89,73.75,16,40.2,70.46,39.47,98.27,-61.53,-53.08,28.4,42.04,71.21,284.66,109.06,30.1,56.08,37.204,2436.735,5,0.7001,40.98,1,19,0,1,0,Medium,High_Priority,152.97,100.98,37.99,49.16,155.99,22.125,23.279,14.819,63.32,11.172,36.47,42.91,2.765,96.088,91.33,1,0.8046,59.46,57.295,32.099,72.37,35.86,Efficient_Transmission
VEH_01216,RSU_0097,SEG_0516,Morning_Peak,Urban,Straight_Road,Foggy,Medium,39.74,3.719,11.19,68.07,42.86,9,15.04,45.31,56.42,93.6,-100.13,-83.32,20.58,46.24,75.56,432.11,209.59,57.32,75.41,55.754,3208.722,6,0.681,30.55,1,13,0,1,0,Critical,High_Priority,119.35,32.63,43.47,54.37,253.86,23.971,15.575,11.518,51.556,8.262,27.29,27.14,2.469,98.515,82.331,2,0.7387,47.27,70.064,84.413,74.595,31.068,Efficient_Transmission
VEH_00956,RSU_0092,SEG_0088,Evening_Peak,Suburban,Straight_Road,Windy,High,58.78,1.895,18.54,20.7,49.64,8,39.04,49.0,70.78,62.28,-75.88,-85.07,25.76,23.69,69.53,274.12,187.3,46.82,64.06,43.384,2651.418,3,0.5403,22.69,1,14,0,1,0,Medium,Standard,139.25,72.41,40.11,76.3,268.19,34.213,19.346,7.144,65.113,11.366,42.93,50.94,2.483,94.811,50.369,5,0.5673,68.17,51.983,42.625,66.76,30.632,Poor_Transmission
VEH_02325,RSU_0052,SEG_0176,Night,Suburban,Multi_Lane_Road,Foggy,Very_High,40.37,3.174,13.17,25.09,87.14,11,36.0,64.11,89.14,74.67,-98.96,-111.05,20.12,40.99,83.56,391.41,232.06,35.65,67.68,58.071,2766.752,6,0.5419,24.44,1,30,0,1,0,High,High_Priority,140.47,57.4,39.9,72.62,252.67,35.454,16.037,13.16,68.711,9.207,64.0,46.08,5.901,93.835,62.046,0,0.6598,81.65,54.845,60.038,65.688,22.916,Poor_Transmission
VEH_01185,RSU_0037,SEG_0426,Midday,Urban,Straight_Road,Clear,High,38.37,0.089,12.19,49.27,59.93,10,25.47,65.86,62.55,48.16,-59.84,-52.98,29.15,43.38,71.48,230.08,125.5,55.99,81.1,44.631,3506.574,5,0.6914,7.73,0,16,0,1,0,Critical,Background,156.14,66.8,27.79,76.26,174.2,27.475,18.613,11.688,59.063,10.393,37.72,47.2,0.1,99.427,39.476,0,0.84,60.33,80.371,91.36,78.254,32.392,Efficient_Transmission
VEH_00460,RSU_0008,SEG_0081,Evening_Peak,Urban,Multi_Lane_Road,Cloudy,Medium,33.07,1.227,13.58,50.1,54.3,6,18.58,64.86,43.36,56.93,-87.53,-73.18,22.61,47.71,67.61,292.34,185.61,42.06,67.08,41.223,2847.825,2,0.6834,35.84,1,13,0,1,0,Low,Background,101.21,52.94,26.43,33.93,247.07,18.738,16.365,3.456,41.844,11.376,43.73,50.05,1.695,96.383,49.344,4,0.7394,50.44,66.727,29.663,76.229,31.269,Efficient_Transmission
VEH_00022,RSU_0044,SEG_0138,Midday,Urban,Straight_Road,Rainy,Very_High,27.88,1.714,23.68,22.5,62.08,10,24.38,98.0,58.49,58.55,-92.62,-92.42,20.79,53.64,87.78,361.44,123.06,45.88,70.8,49.656,3010.869,7,0.7139,29.49,1,24,0,1,1,Low,Standard,176.52,72.17,24.5,56.64,324.95,22.705,28.186,16.073,73.778,14.956,47.75,58.31,9.048,89.699,43.488,2,0.7686,72.67,68.558,40.362,69.453,22.135,Moderate_Transmission
VEH_02301,RSU_0098,SEG_0433,Early_Morning,Smart_City_Zone,Multi_Lane_Road,Foggy,High,21.34,1.213,27.44,58.92,63.61,7,16.95,43.01,78.26,60.12,-93.89,-94.13,19.98,38.68,102.5,331.67,194.73,69.03,53.46,54.736,2161.649,2,0.5908,19.95,1,21,1,1,0,Medium,Background,148.62,63.18,38.04,51.63,247.2,25.915,12.717,7.115,59.157,14.954,34.16,36.44,7.737,90.803,43.17,5,0.6288,58.34,48.108,52.79,68.5,20.497,Poor_Transmission
VEH_00748,RSU_0236,SEG_0470,Evening_Peak,Highway,Flyover,Rainy,Very_High,55.34,3.621,20.07,47.98,75.87,18,24.45,72.9,62.26,9.54,-83.33,-86.2,23.45,44.7,137.02,403.58,226.69,49.96,92.97,66.757,3872.321,5,0.5461,19.04,2,27,0,1,0,Low,Standard,149.7,98.76,46.29,80.44,275.83,25.517,24.391,13.235,64.365,9.995,45.2,54.97,5.571,93.603,1.0,4,0.5775,62.51,75.206,25.602,59.875,17.684,Poor_Transmission
VEH_00475,RSU_0133,SEG_0350,Early_Morning,Smart_City_Zone,Straight_Road,Clear,Very_High,21.28,-0.034,14.76,47.17,85.85,14,33.44,91.18,76.97,57.58,-52.65,-57.41,30.21,18.48,132.66,197.87,207.14,47.51,83.65,56.181,3635.167,6,0.7196,27.3,0,13,0,1,0,Low,Background,160.68,88.32,38.01,69.41,304.76,24.35,21.64,14.404,61.929,9.166,33.72,52.86,5.456,91.916,41.383,4,0.7318,79.3,74.21,28.577,71.676,28.907,Efficient_Transmission
VEH_01083,RSU_0118,SEG_0126,Evening_Peak,Urban,Intersection,Clear,Medium,53.02,1.278,20.22,58.99,53.18,4,15.19,28.85,62.78,64.4,-50.83,-63.56,35.06,59.59,97.22,292.96,71.99,33.1,91.62,52.632,3921.998,1,0.6809,32.97,1,14,0,1,0,Critical,Emergency,77.48,72.76,5.54,63.44,212.39,30.971,11.893,7.083,54.204,11.603,32.76,43.22,0.688,98.624,59.15,1,0.8545,48.59,85.254,80.72,74.829,36.868,Highly_Efficient_Secure_Transmission
VEH_02048,RSU_0069,SEG_0309,Early_Morning,Smart_City_Zone,Curved_Road,Clear,Very_High,33.95,2.178,8.43,34.79,73.67,13,30.85,82.93,73.4,25.95,-57.39,-64.88,27.66,55.96,102.36,198.1,115.99,19.12,59.16,46.18,2441.188,2,0.8063,26.48,0,20,0,1,0,Critical,High_Priority,214.0,109.86,23.1,87.47,332.6,25.594,32.912,7.367,67.687,8.302,39.87,39.52,0.1,98.638,17.223,1,0.99,81.11,60.336,85.054,89.81,26.248,Efficient_Transmission
VEH_00976,RSU_0159,SEG_0230,Evening_Peak,Highway,Curved_Road,Clear,High,56.75,1.912,9.44,63.16,77.42,9,26.7,61.63,54.43,82.48,-56.97,-52.01,29.9,41.04,90.63,243.8,175.57,56.87,76.34,48.259,3216.62,5,0.731,14.71,0,17,0,1,1,High,Emergency,143.15,57.28,31.06,59.13,242.05,28.514,17.168,13.918,68.433,9.553,28.5,32.4,7.393,92.172,73.662,1,0.8559,62.84,75.029,72.84,71.943,33.957,Efficient_Transmission
VEH_01807,RSU_0045,SEG_0460,Morning_Peak,Suburban,Intersection,Clear,Low,80.77,1.086,30.17,90.56,31.06,5,13.29,36.8,50.38,131.34,-64.82,-62.0,40.06,71.07,36.48,146.22,137.7,56.08,79.28,20.838,3399.615,2,0.5992,23.99,2,9,0,1,0,High,High_Priority,99.45,45.21,3.84,34.46,69.23,19.339,21.818,2.603,55.165,9.82,24.49,36.69,0.1,99.658,119.203,1,0.7165,40.58,77.371,52.146,77.304,51.093,Highly_Efficient_Secure_Transmission
VEH_00190,RSU_0137,SEG_0345,Midday,Urban,Intersection,Clear,High,55.76,0.71,9.25,41.3,73.84,11,21.14,92.3,68.23,102.39,-58.43,-48.16,32.2,21.29,86.56,204.87,158.34,35.74,70.83,48.538,2976.167,4,0.6738,24.66,2,18,1,1,0,Low,Emergency,82.04,81.83,31.41,84.54,310.22,22.796,19.429,13.828,65.958,9.891,33.56,34.24,3.518,95.793,95.209,3,0.7165,80.18,64.123,14.939,72.857,36.445,Efficient_Transmission
VEH_00563,RSU_0234,SEG_0310,Midday,Highway,Flyover,Clear,Medium,86.18,2.148,34.01,87.54,50.65,6,20.13,48.94,45.33,82.53,-53.15,-59.71,34.17,36.05,91.12,202.64,201.28,45.1,85.76,37.683,3686.086,2,0.5121,18.24,1,24,0,1,0,Medium,Standard,96.21,37.62,27.4,37.75,169.87,28.184,24.05,7.751,66.157,7.897,34.47,58.18,0.1,97.992,73.791,4,0.5993,38.91,76.446,50.7,66.818,43.56,Efficient_Transmission
VEH_01900,RSU_0032,SEG_0020,Midday,Smart_City_Zone,Tunnel,Cloudy,Medium,59.92,1.157,28.26,53.5,52.42,9,6.31,45.64,54.73,100.08,-58.83,-56.65,35.19,49.38,57.89,323.1,183.55,39.42,53.27,40.254,2182.234,2,0.6511,21.95,4,22,0,0,0,Low,Standard,116.18,92.01,21.67,14.3,102.06,26.438,26.185,6.794,73.396,8.95,40.73,49.41,3.466,95.199,87.771,5,0.6302,45.36,41.698,25.321,70.226,35.06,Moderate_Transmission
VEH_01268,RSU_0033,SEG_0561,Morning_Peak,Urban,Curved_Road,Cloudy,Very_High,11.07,0.894,7.65,39.0,101.73,18,25.7,98.0,81.85,57.24,-78.48,-76.11,30.59,24.02,110.29,297.49,171.13,15.0,67.14,61.814,2722.156,4,0.8833,38.77,0,23,0,1,0,Medium,Standard,231.46,102.61,21.59,73.84,378.27,30.057,31.362,11.031,72.17,9.278,56.97,72.12,4.686,93.077,44.731,2,0.99,78.2,62.957,43.466,79.329,16.141,Moderate_Transmission
VEH_01529,RSU_0126,SEG_0541,Midday,Urban,Multi_Lane_Road,Rainy,Low,68.21,3.063,38.86,90.02,12.34,4,0.0,50.2,11.86,133.97,-92.17,-95.74,24.29,59.85,92.73,331.32,162.73,42.8,71.99,35.682,3169.199,2,0.4327,7.87,0,11,0,0,0,Medium,High_Priority,74.92,74.85,25.28,40.24,116.28,25.104,16.873,6.765,46.333,8.762,31.71,32.9,6.426,92.117,118.955,0,0.6857,34.56,70.138,49.46,64.792,43.273,Efficient_Transmission
VEH_00647,RSU_0067,SEG_0560,Morning_Peak,Highway,Multi_Lane_Road,Rainy,Very_High,49.88,2.327,76.73,38.83,58.11,17,25.61,84.52,69.49,65.97,-87.29,-87.37,21.35,35.2,101.48,364.44,161.15,31.34,93.0,57.168,3900.112,3,0.339,29.7,4,22,1,1,0,High,High_Priority,160.01,106.98,26.84,58.81,301.03,29.623,34.908,5.299,84.521,12.502,51.28,54.01,11.359,87.863,46.668,4,0.237,69.66,59.288,77.147,43.588,25.332,Poor_Transmission
VEH_02069,RSU_0030,SEG_0477,Midday,Smart_City_Zone,Straight_Road,Clear,Low,66.91,1.106,18.52,70.16,45.5,5,22.75,5.0,53.95,105.73,-60.99,-56.94,26.37,39.94,67.03,284.96,143.93,68.8,87.16,42.331,3800.429,1,0.6,15.27,1,10,0,1,0,Low,Standard,98.44,49.08,13.41,53.68,199.6,31.188,10.341,4.47,49.565,7.698,24.76,26.45,3.505,94.258,96.412,1,0.7641,40.04,81.526,29.889,73.382,41.945,Highly_Efficient_Secure_Transmission
VEH_02215,RSU_0114,SEG_0269,Morning_Peak,Highway,Straight_Road,Rainy,Medium,93.36,2.346,24.8,59.58,54.15,5,13.83,60.91,41.73,96.95,-100.33,-82.1,22.0,58.25,115.52,413.58,193.95,21.3,51.02,60.664,2148.954,1,0.3623,22.19,3,14,1,1,1,Low,Standard,46.19,97.2,17.74,70.73,148.19,18.368,22.102,9.469,76.528,8.311,27.25,36.9,12.555,85.222,74.219,1,0.3446,55.17,37.138,23.72,45.318,15.671,Poor_Transmission
VEH_01298,RSU_0204,SEG_0003,Midday,Urban,Intersection,Foggy,Medium,45.81,2.671,39.16,54.94,46.28,5,19.07,41.33,43.98,97.04,-91.33,-84.05,21.02,37.56,62.73,372.28,197.77,33.17,57.0,50.458,2293.496,1,0.4552,15.89,1,8,0,1,1,High,Standard,98.95,34.93,16.7,24.4,253.56,18.314,12.198,9.39,48.339,11.507,24.22,50.26,8.546,90.43,82.575,1,0.5669,38.55,47.937,85.467,61.654,25.749,Poor_Transmission
VEH_02436,RSU_0029,SEG_0016,Morning_Peak,Suburban,Intersection,Cloudy,High,30.06,1.554,31.52,16.74,69.7,11,26.61,71.91,72.57,102.18,-77.04,-66.23,28.07,20.08,121.78,184.84,168.22,39.57,78.83,48.797,3417.59,7,0.6709,17.84,0,22,0,1,0,High,Background,119.6,53.93,24.74,39.7,278.49,22.199,25.587,10.905,63.352,10.764,47.67,61.06,0.271,97.649,89.191,1,0.8322,66.72,76.16,69.588,75.207,42.81,Efficient_Transmission
VEH_00601,RSU_0131,SEG_0358,Night,Suburban,Curved_Road,Clear,Medium,71.74,1.471,12.89,67.04,33.83,7,21.27,41.23,58.43,87.46,-64.23,-52.12,32.25,33.55,54.7,249.37,136.79,71.96,71.73,37.373,3104.32,4,0.6903,26.73,1,18,0,1,0,Medium,High_Priority,80.23,48.41,20.71,70.33,207.33,27.271,12.397,10.773,57.611,8.453,34.06,30.39,3.936,95.179,71.268,4,0.7151,54.58,73.406,42.578,70.731,36.879,Efficient_Transmission
VEH_02364,RSU_0218,SEG_0133,Midday,Industrial,Straight_Road,Foggy,Very_High,13.2,-0.322,13.73,26.91,91.55,10,28.74,58.68,96.3,45.9,-107.79,-86.23,19.82,22.01,130.12,412.8,220.81,34.6,100.0,77.259,4098.51,6,0.7326,35.09,1,19,1,0,1,Low,Standard,143.16,61.04,40.8,68.55,267.1,34.752,25.512,15.42,84.587,11.326,52.4,50.9,11.763,86.665,24.545,0,0.8404,73.24,83.767,40.855,73.036,14.79,Moderate_Transmission
VEH_02062,RSU_0185,SEG_0312,Morning_Peak,Industrial,Flyover,Foggy,High,24.75,2.039,4.44,28.5,72.37,7,24.96,66.03,66.49,82.75,-109.55,-82.35,13.54,25.93,120.04,412.65,215.67,39.26,78.29,79.501,3244.515,3,0.5614,22.09,0,18,0,1,0,Critical,High_Priority,195.05,87.65,36.77,38.92,235.32,34.315,19.224,8.185,70.151,4.394,31.16,28.82,1.648,96.282,67.872,3,0.6859,61.34,64.182,86.94,69.344,17.879,Poor_Transmission
VEH_00242,RSU_0030,SEG_0482,Midday,Highway,Intersection,Rainy,High,68.85,1.32,12.91,56.77,75.35,12,26.06,67.84,78.36,75.72,-85.92,-75.4,26.96,32.18,124.41,421.89,217.94,46.75,69.08,62.755,2865.889,3,0.5428,22.76,3,18,0,1,0,Low,Emergency,114.09,54.3,32.86,41.39,232.3,30.417,21.164,4.554,66.673,12.132,43.11,37.05,3.808,95.84,66.134,4,0.6305,61.24,57.941,23.937,64.933,16.835,Poor_Transmission
VEH_02042,RSU_0137,SEG_0544,Evening_Peak,Urban,Straight_Road,Clear,Low,65.24,0.782,9.57,77.87,18.01,7,12.67,25.11,33.68,116.56,-70.57,-54.45,29.15,40.06,71.95,227.17,156.14,63.21,69.85,43.123,2867.61,1,0.5846,26.89,0,8,0,0,0,High,Background,93.82,5.0,22.0,27.24,135.89,24.241,11.043,6.293,41.727,6.568,1.0,2.0,0.1,99.95,116.813,1,0.7464,29.14,66.775,71.687,75.683,40.794,Efficient_Transmission
VEH_01364,RSU_0154,SEG_0305,Early_Morning,Smart_City_Zone,Multi_Lane_Road,Rainy,Medium,55.85,1.273,35.48,63.15,55.67,8,13.67,54.68,65.61,89.87,-91.41,-70.06,30.41,63.21,79.61,363.16,165.9,61.12,72.1,51.018,2990.426,5,0.5405,15.94,1,11,0,1,0,Low,Emergency,101.47,44.02,11.14,36.67,239.26,32.968,11.095,10.388,57.801,10.596,26.48,49.22,3.936,95.182,79.252,3,0.625,55.53,55.4,27.982,67.947,29.234,Moderate_Transmission
VEH_02140,RSU_0130,SEG_0269,Evening_Peak,Highway,Flyover,Rainy,Very_High,56.2,1.472,24.97,32.86,72.02,10,33.77,83.34,99.0,74.61,-85.8,-102.57,10.69,26.73,117.71,351.62,245.19,35.65,25.15,67.69,825.193,8,0.3624,25.6,1,33,0,1,0,High,Emergency,161.56,84.23,45.04,60.28,268.88,36.552,20.331,12.16,78.505,11.101,50.72,47.98,4.814,94.064,58.003,3,0.4144,87.41,17.111,70.704,52.24,8.11,Poor_Transmission
VEH_01391,RSU_0062,SEG_0414,Midday,Smart_City_Zone,Curved_Road,Rainy,Medium,62.34,1.684,43.5,57.69,68.88,5,19.83,26.83,31.23,79.01,-85.7,-87.6,23.83,51.32,86.78,457.65,155.29,52.94,100.0,44.539,4383.111,2,0.3612,32.85,3,18,0,1,1,High,High_Priority,166.69,5.0,9.82,32.26,188.33,20.383,11.297,5.357,52.855,14.549,30.53,38.43,9.061,88.551,64.047,2,0.3631,27.55,84.759,78.694,47.955,34.144,Poor_Transmission
